target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
Kraft,Kraft,failed,,Kraft,,,,"Identity unclear: 'Kraft' could be Kraft Heinz Company (USA) or Mondelez International (the former Kraft Foods snacks business, USA), and the note leaves it open."
Kudelski Group,Kudelski Group,done,kudelski-group.png,NAGRA Kudelski Group,"Kudelski Group (NAGRA Kudelski Group), Switzerland",official-site,https://www.nagra.com/themes/custom/nagra/assets/img/logos/nagra.svg,"kudelski.com now redirects to nagra.com, and its header logo is this NAGRA Kudelski Group lockup (SVG). Commons had only a small JPG."
Kuehne + Nagel Eastern Europe,Kuehne + Nagel Eastern Europe,done,kuehne-nagel.png,Kuehne+Nagel,"Kuehne + Nagel International AG, Switzerland (Eastern Europe regional unit)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c6/K%C3%BChne_%2B_Nagel_logo.svg,"Group logo, used for the Eastern Europe unit."
Kuwait Anti-Corruption Authority,Kuwait Anti-Corruption Authority,failed,,Kuwait Anti-Corruption Authority,"Kuwait Anti-Corruption Authority (Nazaha), Kuwait",,,"No logo on Wikipedia or Commons, and nazaha.gov.kw could not be reached (connection failed, 503 over http)."
Kuwait Capital Market Authority,Kuwait Capital Market Authority,failed,,Capital Markets Authority,"Capital Markets Authority, State of Kuwait (cma.gov.kw)",,,"The helper rejected the site header logo as white-only. The site has no dark or colour variant, only a faint watermark and small icons, and Wikipedia and Commons have no logo."
Kuwait Energy Company,Kuwait Energy Company,failed,,Kuwait Energy,"Kuwait Energy Company (kuwaitenergy.co), Kuwait, acquired by United Energy Group in 2019",,,"No logo on Wikipedia or Commons, and the official site has only a 200px header PNG with no larger or SVG version."
Kuwait Foundation for the Advancement of Sciences (KFAS),Kuwait Foundation for the Advancement of Sciences (KFAS),failed,,KFAS,"Kuwait Foundation for the Advancement of Sciences, Kuwait (kfas.org)",,,"The English and Arabic Wikipedia articles have no logo. The official site has a white logo and a 214px orange version, with no SVG or larger file."
Kuwait International Bank,Kuwait International Bank,failed,,Kuwait International Bank,"Kuwait International Bank (KIB), Kuwait",,,"The Wikipedia logo is only 383x185px, below the 400px minimum, and the official site kib.com.kw was blocked by the network proxy."
Kuwait National Fund for Small and Medium Enterprise Development,Kuwait National Fund for Small and Medium Enterprise Development,failed,,National Fund for SMEs,Kuwait National Fund for Small and Medium Enterprise Development (nationalfund.gov.kw),,,"No logo on Wikipedia or Commons. The official site sits behind a Sucuri JavaScript bot challenge, which I did not get around."
LAPFUND,LAPFUND,failed,,LAPFUND,"LAPFUND (Local Authorities Provident Fund), Kenya",,,"No Wikipedia or Commons logo, and lapfund.or.ke could not be reached (the proxy refused the connection)."
LEKOIL,LEKOIL,done,lekoil.png,LEKOIL,"LEKOIL Limited, Nigerian oil and gas company",official-site,https://lekoil.com/wp-content/uploads/2024/09/Lekoil-logo.svg,"The Wikipedia logo was only 96px, so I used the official site SVG."
LEO Pharma,LEO Pharma,done,leo-pharma.png,LEO Pharma,"LEO Pharma A/S, Denmark (UK operations)",wikimedia,https://upload.wikimedia.org/wikipedia/en/e/e5/Leo_Pharma_logo.svg,"Black lion-and-LEO mark, which matches the brand."
Landmark Group,Landmark Group,failed,,Landmark Group,"Landmark Group, UAE (landmarkgroup.com)",,,"The Wikipedia logo is only 253x78px, and the official site returned 403 to both the library and browser user agents."
Legal Services Board,Legal Services Board,done,legal-services-board.png,Legal Services Board,"Legal Services Board, United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Legal_Services_Board_logo.jpg/960px-Legal_Services_Board_logo.jpg,"The Commons original was rate-limited, so I used Wikimedia's 960px render of the same file."
Legatum,Legatum,failed,,Legatum,"Legatum, Dubai-based private investment group, UAE (the Legatum Institute is now the Prosperity Institute)",,,"The Wikipedia logo is only 316px, and legatum.com is behind a Vercel security checkpoint that answers 429."
Liberia Medicines and Health Product Regulatory Authority,Liberia Medicines and Health Product Regulatory Authority,failed,,LMHRA,"Liberia Medicines and Health Products Regulatory Authority (lmhra.gov.lr), Liberia",,,"No Wikipedia or Commons logo, and the official site has only a 303x120px header logo with no larger version."
Libya National Oil Corporation,Libya National Oil Corporation,done,libya-noc.png,National Oil Corporation,"National Oil Corporation (NOC), Libya",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/75/LNOC_logo.png,"Bilingual Arabic/English lockup, raster 1080px"
Lifera,Lifera,failed,,Lifera,"Lifera, PIF-owned pharmaceutical manufacturing company, Saudi Arabia",,,"No Wikipedia or Commons logo exists, and the official site (lifera.com, formerly lifera.com.sa) sits behind a SiteGround captcha that blocks automated downloads."
Lockton,Lockton,done,lockton.png,Lockton,"Lockton Companies, USA (global insurance broker)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/a2/Lockton_Logo_Black.svg,Stacked globe and wordmark lockup; the brand's standard colour is black
London Business School,London Business School,done,london-business-school.png,London Business School,"London Business School, United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/commons/4/47/RS9327_LBS_Standard_Logo_RGB_AW-hpr.jpg,"Standard navy block logo, JPG at 2363px"
Louvre Hotels Group,Louvre Hotels Group,done,louvre-hotels-group.png,Louvre Hotels Group,"Louvre Hotels Group, France",wikimedia,https://upload.wikimedia.org/wikipedia/fr/3/39/Louvre-Hotels-Group.png,"From the French Wikipedia infobox. The official site returns 403, so I could not confirm this is the mark in use today. The logo sits on its own dark grey panel."
LuLu Group,LuLu Center,done,lulu.png,LuLu,"LuLu Group International / LuLu Retail, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/ab/Lulu_Hypermarket_logo.png,"This is the core green LuLu script wordmark. The file on the LuLu Group International Wikipedia page is only 250px. The official site (luluretail.com) is behind a Cloudflare block. The raster is 477px, just above the minimum."
MB Holding Company,MB Holding Company,failed,,MB Holding,"MB Holding Company LLC (Mohammed Al Barwani group), Oman",,,"The Wikipedia page has only a portrait photo. Every request to mbholdingco.com, including the logo files in wp-content/uploads/2023/12, is served a SiteGround captcha."
MCI,MCI,failed,,MCI Group,"MCI Group, Switzerland (events and engagement agency with a Dubai office)",,,"The official site has only a white inline SVG logo, with no dark or colour variant. The only Commons file, File:MCI_Group.png, is a different company's grey MCI mark."
MISC Berhad,MISC Berhad,done,misc-group.png,MISC,"MISC Berhad, Malaysia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/d/dd/MISC_Group_Logo_2023.png,Matches the current logo.svg in the miscgroup.com header
MRS Oil & Gas,MRS Oil & Gas,done,mrs-oil-and-gas.png,MRS,"MRS Oil and Gas Company Limited (MRS Group), Nigeria",official-site,https://www.mrsoilnigeria.com/images/logo-svg.svg,"This is the MRS group emblem (horse over the MRS oval), taken from sister company MRS Oil Nigeria Plc's SVG. I cropped the SVG viewBox to the emblem so the 'MRS Oil Nigeria Plc' name is left out. The group site, mrsholdings.com, only has a 318px raster."
Mabanee Company K.P.S.C,Mabanee Company K.P.S.C,failed,,Mabanee,"Mabanee Company K.P.S.C., Kuwait",,,"There is no Wikipedia logo in English or Arabic. The only official logo is a 232px PNG, found on the homepage, about page and media page. That is below the 400px minimum, and I found no SVG."
MacPaw,MacPaw,done,macpaw.png,MacPaw,"MacPaw, Ukraine (software developer)",official-site,https://macpaw.com/images/sprite.af66fde2.svg,"I combined the paw symbol and wordmark symbols from the site's SVG sprite as the header lays them out (both 24px high, text 84px wide), in black."
Maersk,Maersk,done,maersk.png,Maersk,"A.P. Moller - Maersk, Denmark",wikimedia,https://upload.wikimedia.org/wikipedia/commons/e/e6/Maersk_Group_Logo.svg,Current star and MAERSK wordmark lockup
Maitland Central Services,Maitland Central Services,failed,,Maitland,Probably Maitland Group (international fiduciary and advisory firm),,,"Identity unclear. The likely candidate is Maitland Group, but its site does not list an Isle of Man office, so it is unclear which brand the Isle of Man entity uses today. maitlandgroup.com also fails TLS/connection, and there is no Wikipedia logo."
Majis Industrial Services,Majis Industrial Services,failed,,Majis,"Majis Industrial Services S.A.O.C., Sohar, Oman",,,"There is no Wikipedia page. majis.om only has the bilingual logo as a 150x120 PNG and a 3D-rendered version, and neither meets the spec."
Maldives Pension Administration Office,Maldives Pension Administration Office,failed,,Pension Office,"Maldives Pension Administration Office, Maldives",,,"There is no Wikipedia page. The site header logo (inline SVG) and the og:image exist only in white, and I found no dark or colour variant."
Management Sciences for Health,Management Sciences for Health,done,management-sciences-for-health.png,Management Sciences for Health,"Management Sciences for Health (MSH), USA",official-site,https://msh.org/wp-content/uploads/2021/11/logo.svg,
ManpowerGroup,ManpowerGroup Middle East,done,manpowergroup.png,ManpowerGroup,ManpowerGroup Inc. (USA; Middle East operations in the UAE),wikimedia,https://upload.wikimedia.org/wikipedia/commons/1/14/ManpowerGroup_logo.svg,"Horizontal symbol-plus-name lockup, rendered from SVG."
MediaQuest,MediaQuest,failed,,MediaQuest,"Probably Mediaquest Corporation, Dubai (publishing house)",,,"Identity unclear. The candidates are Mediaquest Corporation (Dubai publisher, on Wikipedia) and Media Quest Group / MQuest (Dubai digital media company). Also, the Wikipedia logo is only 378px, mediaquest.ae is an under-construction page, and mediaquestcorp.com returns 403."
Medicines for Malaria Venture,Medicines for Malaria Venture,done,medicines-for-malaria-venture.png,Medicines for Malaria Venture,"Medicines for Malaria Venture (MMV), Switzerland",official-site,https://www.mmv.org/themes/custom/mmv_theme/logo.min.svg,
Meirc Training and Consulting,Meirc Training and Consulting,done,meirc.png,Meirc Training and Consulting,"Meirc Training and Consulting, UAE",official-site,https://www.meirc.com/assets/images/meirc-training-consulting-dubai-2023.png,The current site header logo carries a '65+ years' anniversary badge after a divider. The site has no version without it.
Meraas,Meraas,done,meraas.png,Meraas,"Meraas Holding LLC (Dubai Holding real estate unit), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/68/Meraas-logo.svg,"Used Meraas's own logo, not Dubai Holding's. The logo is black. meraas.com blocks automated requests, so I could not compare it with the live site."
Mercator,Mercator,failed,,Mercator,,,,"Identity unclear: several UAE firms trade as Mercator, including Mercator Solutions FZE (Accelya Group, airline software), Mercator General Trading (mercator-gt.com), Mercator Shipping and Logistics (mercator-ship.com) and a Dubai investment firm called Mercator."
Metro Jeddah,Metro Jeddah,failed,,Metro Jeddah,"Metro Jeddah Company, Saudi Arabia",,,"Wikimedia has no logo for Metro Jeddah Company or Jeddah Metro, and none of the likely official domains (metrojeddah.com.sa, metrojeddah.com, mjc.com.sa) could be reached."
Middle East Public Relations Association (MEPRA),Middle East Public Relations Association (MEPRA),done,mepra.png,MEPRA,"Middle East Public Relations Association (MEPRA), UAE-based regional body",official-site,https://www.mepra.org/wp-content/uploads/2026/01/Untitled-design-3.png,"The site header uses a 'Celebrating 25 years' anniversary lockup. I cropped it to the permanent bilingual mepra wordmark. The source PNG looks enlarged from a smaller original, so edges are slightly soft."
Misk Foundation,Misk Foundation,done,misk-foundation.png,Misk Foundation,"Mohammed bin Salman Foundation (Misk), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/en/d/d2/MiSK_Foundation_Logo.svg,The logo is bilingual (Arabic and English) and carries the full 'Mohammed Bin Salman Foundation' name.
Mohamed Yousuf Naghi & Brothers Group,Mohamed Yousuf Naghi & Brothers Group,failed,,Mohamed Yousuf Naghi and Brothers Group,"Mohamed Yousuf Naghi and Brothers Group, Jeddah, Saudi Arabia",,,"Wikimedia has no logo. The only logo on the official site (mynaghi.com/images/logo.png) is 353x142px, below the 400px minimum. naghi.com now redirects to an unrelated page."
Morningstar UK,Morningstar UK,done,morningstar.png,Morningstar,"Morningstar, Inc. (Morningstar UK is its UK arm), United States / United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/67/Morningstar_Logo.svg,
South32,Mozal,done,south32.png,South32,"South32 Limited (parent of Mozal aluminium smelter, Mozambique), Australia",wikimedia,https://upload.wikimedia.org/wikipedia/en/6/62/South32_logo.svg,Used the parent company's logo as the note asks. It is the stacked yellow lockup.
Muscat National Development and Investment Company,Muscat National Development and Investment Company,done,asaas.png,ASAAS,"ASAAS - Muscat National Development and Investment Company SAOC, Oman",official-site,https://asaas.om/en/wp-content/uploads/sites/2/2021/09/Horizontal_ASAAS_Logo.jpg,The logo is bilingual (Arabic and English).
Muscular Dystrophy UK,Muscular Dystrophy UK,done,muscular-dystrophy-uk.png,Muscular Dystrophy UK,"Muscular Dystrophy UK, United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/cc/Muscular_Dystrophy_UK_Main_Logo.jpg,The logo includes the 'Our muscles matter' strapline.
National Bank of Kuwait,NBK Capital; National Bank of Kuwait,done,nbk.png,National Bank of Kuwait,"National Bank of Kuwait (NBK), Kuwait; NBK Capital is its subsidiary",wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/a8/NBK.svg,The logo is bilingual (Arabic and English).
NCAS,NCAS,failed,,NCAS,,,,"Identity unclear: NCAS could be the National Clinical Assessment Service (NHS, now Practitioner Performance Advice) or the National Centre for Atmospheric Science, among others."
NEOM,NEOM,done,neom.png,NEOM,"NEOM Company, Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/en/5/55/Neom_City_Logo.svg,The logo is bilingual (Arabic and English) and stacked.
NIRSAL,NIRSAL,done,nirsal.png,NIRSAL,"Nigeria Incentive-Based Risk Sharing System for Agricultural Lending (NIRSAL Plc), Nigeria",official-site,https://nirsal.com/wp-content/uploads/2025/07/NIRSAL-Company-Profile-.pdf,"The site header logo is too small (280px), so I rendered the logo from the cover of the official company profile PDF. I cropped it to the NIRSAL wordmark and symbol, without the long descriptor line underneath."
NIS,NIS,done,nis.png,NIS,"NIS j.s.c. Novi Sad (Naftna Industrija Srbije), Serbia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/5/5f/NIS_Logo.svg,Matches the logo in the current nis.rs site header.
NRS International,NRS International,done,nrs-relief.png,NRS Relief,"NRS Relief (formerly NRS International FZCO), Dubai, UAE",official-site,https://www.nrsrelief.com/wp-content/uploads/2026/08/NRS-Relief-Product-Catalogue.pdf,"The company now trades as NRS Relief. The site header logo is too small (240px), so I rendered the logo from the cover of the official product catalogue PDF."
NUPCO,NUPCO,done,nupco.png,NUPCO,"National Unified Procurement Company for Medical Supplies (NUPCO), Saudi Arabia",official-site,https://www.nupco.com/wp-content/uploads/2026/07/دليل-الهوية_compressed.pdf,The site's own logo files are white only. I rendered the full-colour primary logo from page 16 of the official brand guide PDF linked from nupco.com/media-center/brand-guide.
Nairobi Ministry of Metropolitan Development,Nairobi Ministry of Metropolitan Development,done,kenya-coat-of-arms.png,Kenya Ministry of Nairobi Metropolitan Development,"Ministry of Nairobi Metropolitan Development (abolished), Government of Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/commons/f/f6/Coat_of_arms_of_Kenya_%28Official%29.svg,"The ministry had no mark of its own, so I used the Kenyan national coat of arms."
Nation Media Group,Nation Media Group,done,nation-media-group.png,Nation Media Group,"Nation Media Group PLC, Kenya",official-site,https://www.nationmedia.com/wp-content/themes/nmg/dist/img/logo-horiz-blue-black.svg,"The Wikipedia logo is only 194px. The site header uses a white-text version, so I used the site's blue-and-black version of the same logo. It includes the 'Media of Africa for Africa' strapline."
Senedd,National Assembly of Wales,done,senedd.png,Senedd,"Senedd Cymru / Welsh Parliament (formerly National Assembly for Wales), United Kingdom",official-site,https://senedd.wales/media/uxydnwo2/senedd-cymru-black.png,Wikimedia has no Senedd logo and the site header logo is white only. I used the black version of the same bilingual (Welsh and English) logo from senedd.wales.
National Association of Head Teachers,National Association of Head Teachers,failed,,NAHT,"National Association of Head Teachers (NAHT), United Kingdom",,,"The only Wikipedia logo is a 220px raster, which is too small, and naht.org.uk could not be reached because its TLS certificate chain failed to verify."
National Bank of Bahrain,National Bank of Bahrain,done,national-bank-of-bahrain.png,National Bank of Bahrain,"National Bank of Bahrain (NBB), Bahrain",official-site,https://nbbonline.com/wp-content/uploads/2024/05/logo.svg,"Wikimedia only has the Arabic shield on its own, so the tile uses the full NBB wordmark plus Arabic shield lockup from the site header."
National Bank of Oman,National Bank of Oman,failed,,National Bank of Oman,"National Bank of Oman (NBO), Oman",,,"The Commons file NBO New Logo.gif is only 172x65, the site header Logo.png is only 204x78, and the site has no SVG or larger logo file."
National Bank of Rwanda,National Bank of Rwanda,done,national-bank-of-rwanda.png,National Bank of Rwanda,"National Bank of Rwanda (Banque Nationale du Rwanda, BNR), Rwanda",official-site,https://www.bnr.rw/static/media/bnr-logo.7633d18322b2e9a1c715.png,"The Wikipedia logo is only 316px, so this is the full-colour 1182px seal from the site's own assets."
National Cash Transfer Office,National Cash Transfer Office,failed,,NCTO,"National Cash Transfer Office (NCTO), Nigeria",,,"Wikimedia has no logo, and the only usable site file (ncto.gov.ng/logo.jpg) sits on a grey box, so the tile showed a grey rectangle and was deleted."
NHIA,National Health Insurance Scheme,failed,,NHIA,"National Health Insurance Authority (NHIA, formerly National Health Insurance Scheme), Nigeria",,,"Wikimedia has no logo, and the largest logo on nhia.gov.ng (NHIA-logo.jpg, 400x400) trims to 355px, below the 400px minimum. Use the name nhia-nigeria if retried, because national-health-insurance-authority is the Ghana body."
National Housing Federation,National Housing Federation,done,national-housing-federation.png,National Housing Federation,"National Housing Federation (NHF), United Kingdom",official-site,https://www.housing.org.uk/globalassets/images/logos/nhf_logo_blue_rgb-1.jpg,"The header SVG is white only, so the tile uses the clean blue logo file the site gives as its og:image."
National Library of NIG,National Library of NIG,failed,,National Library of Nigeria,"National Library of Nigeria (NLN), Nigeria",,,"The Wikipedia page has only a staff photo, and the site logo (nln.gov.ng/assets/img/nln_logo.png) is only 175px."
National Marine Dredging Company,National Marine Dredging Company,done,nmdc-group.png,NMDC Group,"NMDC Group (formerly National Marine Dredging Company), UAE",official-site,https://www.nmdc-group.com/assets/images/logo/NMDC%20Group.svg,"National Marine Dredging Company is now called NMDC Group, so this is the current group logo."
National Microfinance Bank,National Microfinance Bank,done,nmb-bank.png,NMB Bank,"NMB Bank Plc (National Microfinance Bank), Tanzania",wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/88/Nmb_logo.jpg,"Caveat: the only full-colour version I found is the white NMB wordmark with an orange swoosh inside a blue square (500px JPG). The logo on the bank's website header is white only, so I did not use it. Please check the blue-square version is acceptable."
National Petroleum Institute of Mozambique (INP),National Petroleum Institute of Mozambique (INP),done,inp-mozambique.png,INP Mozambique,"Instituto Nacional de Petróleo (INP), Mozambique",official-site,https://www.inp.gov.mz/wp-content/uploads/2024/01/NOVO-LOGO-CORES-TRANSPARENTE-1.png,"This is the new colour logo from 2024. The source raster is 567px, so the tile is only 532px."
National Transformation Program Center,National Transformation Program Center,failed,,National Transformation Program,"National Transformation Program Center (NTP, a Vision 2030 programme), Saudi Arabia",,,"The programme has its own mark, but no Wikipedia or Commons logo was found, and vision2030.gov.sa returned 403 to automated requests, including with a browser user agent."
National Union of Students,National Union of Students,done,national-union-of-students.png,National Union of Students,"National Union of Students (NUS), United Kingdom",official-site,https://assets.nationbuilder.com/nus/sites/1/meta_images/original/NUS_UK.png?1728472429,"The Wikipedia logos are under 400px. This is the site's own colour logo image, hosted on its NationBuilder asset server."
National Water Company,National Water Company,done,national-water-company.png,National Water Company,"National Water Company (NWC), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/National_Water_Company_Logo_2021.png/1280px-National_Water_Company_Logo_2021.png,"Bilingual Arabic and English logo (2021). The original stayed rate-limited, so this is Wikimedia's 1280px render of the same file."
NautaDutilh,NautaDutilh,done,nautadutilh.png,NautaDutilh,"NautaDutilh N.V., Netherlands",official-site,https://www.nautadutilh.com/en/,"Wikimedia has only an office photo, so this is the inline SVG logo saved from the site header."
Navitas,Navitas,done,navitas.png,Navitas,"Navitas Pty Ltd, Australia",official-site,https://www.navitas.com/wp-content/themes/wp-navitas/images/navitas-logo.svg,
Nemetschek,Nemetschek OOD,done,nemetschek.png,Nemetschek Group,"Nemetschek SE (Nemetschek Group), Germany, the parent of Nemetschek OOD in Bulgaria",wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/05/Nemetschek_AG_Logo.svg,"This matches the current site logo, which only adds the tagline 'Shape the world'."
Niger Delta Development Commission (NDDC),Niger Delta Development Commission (NDDC),failed,,NDDC,"Niger Delta Development Commission (NDDC), Nigeria",,,"The Wikipedia logo is only 76px, and nddc.gov.ng returns 403 for its page and logo files (NDDCNewLogo.jpg, nddclogo.png)."
Nigeria Deposit Insurance Corporation (NDIC),Nigeria Deposit Insurance Corporation (NDIC),done,ndic.png,NDIC,"Nigeria Deposit Insurance Corporation (NDIC), Nigeria",official-site,https://ndic.gov.ng/assets/logo/logo_blue.png,The lockup includes the full name and the tagline 'Protecting your bank deposits'.
Nigeria Economic and Financial Crimes Commission (EFCC),Nigeria Economic and Financial Crimes Commission (EFCC),failed,,EFCC,"Economic and Financial Crimes Commission (EFCC), Nigeria",,,"The Wikipedia EFCC_LOGO.jpg is only 354px, and the site logo (EFCC-Logo.png) is only 100px. The only larger site image is a promotional graphic, not a clean logo."
Nigeria Federal Inland Revenue Service (FIRS),Nigeria Federal Inland Revenue Service (FIRS),failed,,FIRS,"Federal Inland Revenue Service (FIRS), Nigeria, replaced by the Nigeria Revenue Service (NRS) under the 2025 tax reform",,,"FIRS has been replaced by the Nigeria Revenue Service (NRS), so the spec calls for the last FIRS logo: the FIRS Wikipedia page now redirects to NRS with no logo file, and firs.gov.ng refuses connections (reset). Ask Will whether the NRS logo would be acceptable instead."
Nigeria Federal Road Safety Corps,Nigeria Federal Road Safety Corps,failed,,Federal Road Safety Corps,"Federal Road Safety Corps (FRSC), Nigeria",,,"The Wikipedia logo is only 365px. The site's own frsc-logo.svg is a rough trace with the eagle's head and wing tips cut off, so I deleted it, and the site's PNG logo is only 256px."
Nigeria Governors' Forum Secretariat,Nigeria Governors' Forum Secretariat,failed,,Nigeria Governors' Forum,"Nigeria Governors' Forum (NGF) Secretariat, Nigeria",,,"There is no logo file on Wikipedia or Commons, and the only logo on nggovernorsforum.org is a 279x96 PNG, which is too small."
Nigeria Independent National Electoral Commission (INEC),Nigeria Independent National Electoral Commission (INEC),done,inec.png,Independent National Electoral Commission,"Independent National Electoral Commission (INEC), Nigeria",official-site,https://inecnigeria.org/_nuxt/inec_logo_crest_clean.Bwnv6GSg.png,This is a raster crest of 480x468; it is slightly soft but fully legible.
Nigeria Industrial Training Fund (ITF),Nigeria Industrial Training Fund (ITF),done,itf-nigeria.png,Industrial Training Fund,"Industrial Training Fund (ITF), Nigeria",official-site,https://itf.gov.ng/logo_4.png,"The Wikipedia file is only 316px, so I used the 508px seal from the site."
Nigeria National Agency for the Control of AIDS (NACA),Nigeria National Agency for the Control of AIDS (NACA),done,naca.png,National Agency for the Control of AIDS,"National Agency for the Control of AIDS (NACA), Nigeria",official-site,https://naca.gov.ng/wp-content/uploads/2021/01/Untitled-design.png,This is the 500px seal that NACA's site uses as its icon; the header banner is only 343px.
Nigeria National Broadcasting Commission,Nigeria National Broadcasting Commission,failed,,National Broadcasting Commission,"National Broadcasting Commission (NBC), Nigeria",,,"The Wikipedia article has no logo file, and nbc.gov.ng serves only an 'Under Maintenance' page with no logo."
Nigeria Office of Accountant General of The Federation,Nigeria Office of Accountant General of The Federation,done,oagf.png,Office of the Accountant General of the Federation,"Office of the Accountant General of the Federation (OAGF), Nigeria",official-site,https://oagf.gov.ng/wp-content/uploads/2022/12/Logo-Main-Full.svg,
Nigeria Office of the Head of Civil Service of the Federation,Nigeria Office of the Head of Civil Service of the Federation,done,nigeria-coat-of-arms.png,Office of the Head of the Civil Service of the Federation,"Office of the Head of the Civil Service of the Federation (OHCSF), Nigeria",wikimedia,https://upload.wikimedia.org/wikipedia/commons/b/bc/Coat_of_arms_of_Nigeria.svg,"OHCSF has no mark of its own; its site header is the coat of arms beside its name. I therefore used the Nigerian coat of arms, saved under a generic file name that other Nigerian bodies can reuse."
Nigerian Electricity Regulatory Commission,Nigerian Electricity Regulatory Commission,failed,,Nigerian Electricity Regulatory Commission,"Nigerian Electricity Regulatory Commission (NERC), Nigeria",,,"There is no NERC Nigeria logo on Wikipedia or Commons (the Commons files named NERC are other bodies), and the largest logo on nerc.gov.ng is 328px."
Nigerian Export - Import bank,Nigerian Export - Import bank,failed,,NEXIM Bank,"Nigerian Export-Import Bank (NEXIM Bank), Nigeria",,,"The Wikipedia infobox has no logo file, and neximbank.com.ng blocks automated requests with a Cloudflare 403, even with a browser user agent."
North Oil Company (NOC),North Oil Company (NOC),failed,,North Oil Company,"North Oil Company (NOC), Qatar (operator of the Al-Shaheen field)",,,"The Wikipedia logo is only 223px, and noc.qa's header logo is only 236x157; the site's SVG logo reference is commented out and returns 404."
Novartis,Novartis,done,novartis.png,Novartis,"Novartis AG, Switzerland",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/7c/Novartis-Logo-2023.svg,
OLX Group,OLX Group,done,olx.png,OLX,"OLX Group (now OLX), Netherlands-headquartered online classifieds group with operations in Portugal",wikimedia,https://upload.wikimedia.org/wikipedia/en/4/49/OLX_logo.svg,This is the current OLX corporate logo from the Wikipedia infobox; the group has dropped 'Group' from its brand name.
OMV,OMV Middle East & Africa,done,omv.png,OMV,"OMV Aktiengesellschaft, Austria",wikimedia,https://upload.wikimedia.org/wikipedia/en/1/1a/OMV_Logo_2024.svg,This is the 2024 OMV logo.
OPTS,OPTS; Nigeria Oil Producers Trade Section (OPTS),failed,,OPTS,"Oil Producers Trade Section (OPTS) of the Lagos Chamber of Commerce and Industry, Nigeria",,,"There is no Wikipedia or Commons logo, and the only logo on opts-ng.com is a 182x39 PNG; its 512px site icon is a blurry crop of the same small file."
OSN,OSN,done,osn.png,OSN,"OSN (Orbit Showtime Network), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/4/47/OSN_2020_logo.svg,"This is the 2020 OSN logo from the Wikipedia infobox. The streaming product is branded OSN+, and I could not check osn.com (it returned 406), so it is unconfirmed whether the site still shows this mark."
Oando,Oando,done,oando.png,Oando,"Oando PLC, Nigeria",wikimedia,https://upload.wikimedia.org/wikipedia/en/d/de/Oando_logo.svg,
Octal,Octal,failed,,Octal,"OCTAL (PET resin and sheet producer, Salalah, Oman), now an Alpek Polyester business",,,"There is no Octal page or logo on Wikipedia or Commons, and octal.com now redirects to alpekpolyester.com, which shows only the Alpek Polyester logo. If Will wants the parent mark instead, the Alpek Polyester SVG is at https://www.alpekpolyester.com/wp-content/uploads/2023/04/alpek-polyester.svg."
Octopus Investments,Octopus Investments,done,octopus-investments.png,Octopus Investments,"Octopus Investments Limited, United Kingdom (part of Octopus Group)",official-site,https://octopusinvestments.com/wp-content/themes/investments-rebrand/dist/static/img/octopus-logo-oi.svg,The site header uses a white version; this is the site's own navy version of the same logo.
Oikocredit International,Oikocredit International,failed,,Oikocredit,"Oikocredit, Ecumenical Development Cooperative Society U.A., Netherlands",,,"The only Commons logo is an older lockup with a German tagline ('in Menschen investieren'), which is not the current international mark, and oikocredit.org blocks automated requests with a 403, even with a browser user agent."
Olympic Delivery Authority (ODA),Olympic Delivery Authority (ODA),failed,,Olympic Delivery Authority,"Olympic Delivery Authority (London 2012), United Kingdom",,https://en.wikipedia.org/wiki/File:Olympic_Delivery_Authority.png,"The only Wikipedia logo file is 133x148 px, too small to use. The body closed in 2014 and its own website is gone; the gov.uk page shows only the generic crest and the archived site could not be reached."
Oman Airports,Oman Airports,failed,,Oman Airports,"Oman Airports Management Company (Oman Airports), Oman",,https://www.omanairports.co.om/frontend/web/images/store/store-1582175835-store-1535346912-omanairports_logo_dual_rgb.png,"Wikipedia's Oman Airports page has no logo. The official site only has small copies of the bilingual logo (230x67 and 300x90, and a 372px-wide copy in a PDF), and the helper rejected them all as too small."
